Event_ID,Source,Date,Time,Flight_Number,Orig,Dest,Fleet,Ship_Number,EDR_EQUIP,EDR_Min,EDR_Peak,Location,Turb_Level,G_Load,,Injury_1,Recordable_1,OSHA_1,Injury_2,Recordable_2,OSHA_2,Injury_3,Recordable_3,OSHA_3,Injury_4,Recordable_4,OSHA_4,Injury_5,Recordable_5,OSHA_5,Injury_6,Recordable_6,OSHA_6,Altitude,Flight_Phase,P1,P2,P3,P3A,P4,P5,P6,Comments
TRB16082,,3-Sep-16,3SEP162300,0230,RDU,CDG,757,6814,,,,EAST of BOS,3,,,FA,N,N,,,,,,,,,,,,,,,,37000,Cruise,,,Y,,N,,N,Ongoing investigation
TRB16083,FOQA,10-Aug-16,11AUG16 0045,0642,MEX,SLC,319,3166,,,,40.2079798721861/-111.952347932905,2,1.398440957,0.488282471895218(0.251095652533398),,Y,N,,,,,,,,,,,,,,,,10039.424,DESCENT,2,,,,,,,FOQA flight record 6004791.
TRB16084,,21-Aug-16,22AUG16 0700,0673,ATL,UIO,757,6712,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,Non-FOQA aircraft.
TRB16085,Pilot ASAP,31-Aug-16,31AUG16 0300,0060,GIG,ATL,767,0172,,,,400mi north of GiG,2,,,FA,,,,,,,,,,,,,,,,,,32000,Cruise,2,,,,Y,,Y,Lack of ride reports and moonless night make it very difficult to see cloud tops. No radar returns caught us unaware of possible bad ride.
TRB16086,FOQA,3-Aug-16,03AUG1621.0741,0903,SJO,ATL,757,0690,,,,20.306889705974/-82.3448221155968,2,1.793150902,0.445037126541138(0.277045069094594),FA,,,,,,,,,,,,,,,,,,36119.023,Cruise,2,,,,N,,N,Radar returns were only green and we were well clear of them.  FOQA flight record 5967358.
TRB16087,Pilot ASAP,4-Aug-16,04AUG161250,1497,PHL,MSP,319,3146,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,On final at 15 miles we were in the clear and had no warning of the weather ahead except for the rain on the radar. FOQA did not capture this flight.
TRB16088,Pilot ASAP,9-Aug-16,09AUG160200,2016,ATL,DEN,M90,9253,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,Y,,Y,,,Windshear. FOQA did not capture this flight.
TRB16089,Pilot ASAP,10-Aug-16,10AUG160200,2107,MSP,ORD,737,3738,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,," While the radar showed a clear path for our flight south, it ended up not being the case.  I think a better understanding and more practice with the -800 radar will make my use of the radar in similar situations more useful. FOQA did not capture this flight."
TRB16090,FOQA,11-Aug-16,12AUG162.4576 ,2845,MSP,RAP,320,3244,,,,44.9167766430555/-100.287819593307,1,1.265628219,0.878908455371857(0.112871389832162),0,,,,,,,,,,,,,,,,,,30853.708,Cruise,1,Y,Y,,Y,,Y,I was unable to provide a PIREP to the company due to workload.  We were obviously in communication with ATC and other aircraft about the ride conditions.  Many times during flights we get TPs forwarded to us by dispatch--sometimes useful.  We definitely did not receive any inflight TPs. FOQA flight record 6006112.
TRB16091,Pilot ASAP,20-Aug-16,20AUG160400,0499,JFK,SDQ,737,3760,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,This was the worst ride in my life. FOQA did not capture this flight.
TRB16092,Pilot ASAP,21-Aug-16,21AUG161000,0308,LAX,CUN,737,3722,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,Y,,Y,,Y, Stick Shaker-nothing was painting on the radar but light green in the area where this happened. FOQA did not capture this flight.
TRB16093,,22-Aug-16,22AUG160730,0673,GYE,PTY,757,6712,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,Stick Shaker. Non-FOQA aircraft.
TRB16094,FOQA,23-Aug-16,23AUG1623.6189,1338,SJC,SLC,320,3272,,,,40.615736762072/-112.073637288543,1,1.273440719,0.910158514976501(0.112149753018626),1,,,,,,,,,,,,,,,,,,9017.545627,Approach,1,,,,,,,Overspeed. FOQA flight record 6023237.
TRB16095,Pilot ASAP,25-Aug-16,25AUG161820,0686,ATL,SDQ,737,3863,,,,Downwind of RWY 30 | 18.3225738983077/-69.7584215868312,2 | 1,2 | 1.45329570770264,0.64972448348999(0.14085864495048),2,,,,,,,,,,,,,,,,,,4000 | 3568.88148645433,approach | Descent,2,,,,,,,Flap overspeed
TRB16101,STARS,7-Sep-16,,1545,ATL,LAS,757,5802,,,,CDS,2,,0.360350847244263(0.194717895609705),FA,N,,,,,,,,,,,,,,,,,360,Cruise,,,,,,,,Unexpected turbulence
